x:    cos(x):  exp(x):
-3.00 -0.9900  4.97870683678639E-0002
-2.90 -0.9710  5.50232200564072E-0002
-2.80 -0.9422  6.08100626252180E-0002
-2.70 -0.9041  6.72055127397498E-0002
-2.60 -0.8569  7.42735782143339E-0002
-2.50 -0.8011  8.20849986238988E-0002
-2.40 -0.7374  9.07179532894126E-0002
-2.30 -0.6663  1.00258843722803E-0001
-2.20 -0.5885  1.10803158362334E-0001
-2.10 -0.5048  1.22456428252982E-0001
-2.00 -0.4161  1.35335283236613E-0001
-1.90 -0.3233  1.49568619222635E-0001
-1.80 -0.2272  1.65298888221587E-0001
-1.70 -0.1288  1.82683524052735E-0001
-1.60 -0.0292  2.01896517994656E-0001
-1.50  0.0707  2.23130160148430E-0001
-1.40  0.1700  2.46596963941607E-0001
-1.30  0.2675  2.72531793034013E-0001
-1.20  0.3624  3.01194211912203E-0001
-1.10  0.4536  3.32871083698080E-0001
-1.00  0.5403  3.67879441171443E-0001
-0.90  0.6216  4.06569659740600E-0001
-0.80  0.6967  4.49328964117222E-0001
-0.70  0.7648  4.96585303791410E-0001
-0.60  0.8253  5.48811636094027E-0001
-0.50  0.8776  6.06530659712634E-0001
-0.40  0.9211  6.70320046035640E-0001
-0.30  0.9553  7.40818220681719E-0001
-0.20  0.9801  8.18730753077983E-0001
-0.10  0.9950  9.04837418035961E-0001
 0.00  1.0000  1.00000000000000E+0000
 0.10  0.9950  1.10517091807565E+0000
 0.20  0.9801  1.22140275816017E+0000
 0.30  0.9553  1.34985880757601E+0000
 0.40  0.9211  1.49182469764127E+0000
 0.50  0.8776  1.64872127070013E+0000
 0.60  0.8253  1.82211880039051E+0000
 0.70  0.7648  2.01375270747048E+0000
 0.80  0.6967  2.22554092849247E+0000
 0.90  0.6216  2.45960311115695E+0000
 1.00  0.5403  2.71828182845905E+0000
 1.10  0.4536  3.00416602394644E+0000
 1.20  0.3624  3.32011692273655E+0000
 1.30  0.2675  3.66929666761925E+0000
 1.40  0.1700  4.05519996684468E+0000
 1.50  0.0707  4.48168907033807E+0000
 1.60 -0.0292  4.95303242439512E+0000
 1.70 -0.1288  5.47394739172721E+0000
 1.80 -0.2272  6.04964746441296E+0000
 1.90 -0.3233  6.68589444227928E+0000
 2.00 -0.4161  7.38905609893067E+0000
 2.10 -0.5048  8.16616991256767E+0000
 2.20 -0.5885  9.02501349943414E+0000
 2.30 -0.6663  9.97418245481475E+0000
 2.40 -0.7374  1.10231763806416E+0001
 2.50 -0.8011  1.21824939607035E+0001
 2.60 -0.8569  1.34637380350017E+0001
 2.70 -0.9041  1.48797317248728E+0001
 2.80 -0.9422  1.64446467710971E+0001
 2.90 -0.9710  1.81741453694431E+0001
 3.00 -0.9900  2.00855369231877E+0001
