Activity Name           	Input Name              	Control Name            	Output Name             	Mechanism Name          	Activity Number         	Activity Definition             	
________________________	________________________	________________________	________________________	________________________	________________________	________________________________	

Заказ такси онлайн      	Клиентские данные       	Правила                 	Чек                     	Клиент                  	0                       	                                	
                        	                        	регистрации/авторизации 	                        	                        	                        	                                	

                        	Деньги                  	Правила офрмления заказа	                        	Сервер                  	                        	                                	

                        	                        	Алгоритм действий       	                        	                        	                        	                                	
                        	                        	сервера                 	                        	                        	                        	                                	

                        	                        	Правила осуществления   	                        	                        	                        	                                	
                        	                        	оплаты                  	                        	                        	                        	                                	

Регистрация/Авторизация 	Клиентские данные       	Правила                 	Результаты              	Клиент                  	  1                     	                                	
                        	                        	регистрации/авторизации 	регистрации/авторизации 	                        	                        	                                	

                        	                        	                        	                        	Сервер                  	                        	                                	

Ввод  пользовательских  	Untitled Input 3        	                        	Введенные               	                        	    1                   	                                	
данных                  	                        	                        	пользовательские данные 	                        	                        	                                	

Проверка                	Введенные               	                        	Результаты проверки     	                        	    2                   	                                	
пользовательских данных 	пользовательские данные 	                        	                        	                        	                        	                                	
на правильность ввода   	                        	                        	                        	                        	                        	                                	

Проверка                	Данные введены верно    	                        	Результаты проверки     	                        	    3                   	                                	
пользовательских  данных	                        	                        	                        	                        	                        	                                	
в базе                  	                        	                        	                        	                        	                        	                                	

                        	Untitled Input 0        	                        	                        	                        	                        	                                	

Занесение               	Untitled Input 10       	                        	Untitled Output 12      	                        	    4                   	                                	
пользовательских  данных	                        	                        	                        	                        	                        	                                	
в базу                  	                        	                        	                        	                        	                        	                                	

                        	Untitled Input 1        	                        	                        	                        	                        	                                	

Оформление заказа       	Результаты              	Правила офрмления заказа	Данные заказа           	Клиент                  	  2                     	                                	
                        	регистрации/авторизации 	                        	                        	                        	                        	                                	

                        	Клиентские данные       	                        	                        	Сервер                  	                        	                                	

Передача геопозиции     	Untitled Input 2        	                        	Untitled Output 5       	                        	    5                   	                                	

Указание места посадки  	Untitled Input 3        	                        	Untitled Output 4       	                        	    6                   	                                	

Указание места прибытия 	Untitled Input 7        	                        	Untitled Output 10      	                        	    7                   	                                	

Указание времени посадки	Untitled Input 8        	                        	Untitled Output 9       	                        	    8                   	                                	

Подготовка машины       	Данные заказа           	Алгоритм действий       	Результаты подготовки   	Сервер                  	  3                     	                                	
                        	                        	сервера                 	машины                  	                        	                        	                                	

Генерация маршрута      	Данные заказа           	Алгоритм действий       	Маршрут                 	Сервер                  	    31                  	                                	
                        	                        	сервера                 	                        	                        	                        	                                	

Поиск ближайшей машины  	Данные заказа           	Алгоритм действий       	Идентификационный номер 	Сервер                  	    32                  	                                	
                        	                        	сервера                 	машины                  	                        	                        	                                	

Передача маршрута       	Маршрут                 	Алгоритм действий       	Данные машины           	Сервер                  	    33                  	                                	
водителю                	                        	сервера                 	                        	                        	                        	                                	

                        	Идентификационный номер 	                        	                        	                        	                        	                                	
                        	машины                  	                        	                        	                        	                        	                                	

Передача информации о   	Данные машины           	Алгоритм действий       	Результаты подготовки   	Сервер                  	    34                  	                                	
машине клиенту          	                        	сервера                 	машины                  	                        	                        	                                	

Оплата заказа           	Результаты подготовки   	Правила осуществления   	Чек                     	Клиент                  	  4                     	                                	
                        	машины                  	оплаты                  	                        	                        	                        	                                	

                        	Клиентские данные       	                        	                        	Сервер                  	                        	                                	

                        	Деньги                  	                        	                        	                        	                        	                                	

Осуществление платежа   	Деньги                  	Правила осуществления   	Данные о платеже        	Клиент                  	    41                  	                                	
                        	                        	оплаты                  	                        	                        	                        	                                	

Подтверждение платежа   	Данные о платеже        	Правила осуществления   	Результаты подтверждения	Сервер                  	    42                  	                                	
                        	                        	оплаты                  	                        	                        	                        	                                	

Указание почты          	Клиентские данные       	Правила осуществления   	Почта                   	Клиент                  	    43                  	                                	
                        	                        	оплаты                  	                        	                        	                        	                                	

Генерация и отправка    	Почта                   	Правила осуществления   	Чек                     	Сервер                  	    44                  	                                	
чека                    	                        	оплаты                  	                        	                        	                        	                                	

                        	Результаты подтверждения	                        	                        	                        	                        	                                	

                        	Результаты подготовки   	                        	                        	                        	                        	                                	
                        	машины                  	                        	                        	                        	                        	                                	

